1,John,english,M,,,Mary
2,Mary,english,F,,,John
3,David,english,M,John,Mary,Linda
4,Linda,english,F,,,David
5,Sarah,english,F,John,Mary,Michael
6,Michael,english,M,,,Sarah
7,James,english,M,David,Linda,
8,Emma,english,F,David,Linda,
9,Robert,english,M,David,Linda,
10,Alice,english,F,Sarah,Michael,
11,Daniel,english,M,Sarah,Michael,
12,Sophie,english,F,Sarah,Michael,
13,Giovanni,italian,M,,,Maria
14,Maria,italian,F,,,Giovanni
15,Marco,italian,M,Giovanni,Maria,Francesca
16,Francesca,italian,F,,,Marco
17,Giulia,italian,F,Giovanni,Maria,Luca
18,Luca,italian,M,,,Giulia
19,Matteo,italian,M,Marco,Francesca,
20,Sofia,italian,F,Marco,Francesca,
21,Andrea,italian,M,Marco,Francesca,
22,Chiara,italian,F,Giulia,Luca,
23,Paolo,italian,M,Giulia,Luca,
24,Elena,italian,F,Giulia,Luca,
